timestep,car_speed,steering_angle,distance_to_road_center,angle_from_straight_in_rads,reward,total_reward
1,0.1,-3.076941184656067,-0.3540701430090103,0.46376024543403616,-2.4674492547517635,-2.4674492547517635
2,0.1,-3.076941184656067,-0.3540701430090103,0.46376024543403616,-2.4674492547517635,-4.934898509503527
3,0.1,-3.076941184656067,-0.3540701430090103,0.46376024543403616,-2.4674492547517635,-7.402347764255291
4,0.1,-3.076941184656067,-0.3540701430090103,0.46376024543403616,-2.4674492547517635,-9.869797019007054
5,0.1,-3.076941184656067,-0.3540701430090103,0.46376024543403616,-2.4689921592588036,-12.338789178265857
6,0.1,-3.0691017718639615,-0.35389542605007873,0.46985248863682605,-2.471981276019881,-14.810770454285738
7,0.1,-3.054471073550601,-0.35356957494993013,0.4812246759487001,-2.476362847435938,-17.287133301721674
8,0.1,-3.0339114057529644,-0.35310842205747456,0.497172814821781,-2.4778849007022385,-19.765018202423914
9,0.1,-3.0155125783986625,-0.3525301776837627,0.5097891984389642,-2.484893668766508,-22.24991187119042
10,0.1,-2.985236852766368,-0.3518361541044645,0.5331246882782771,-2.493222764756048,-24.74313463594647
11,0.1,-2.950916844504685,-0.3510313377092612,0.559396532587927,-2.498102682612866,-27.241237318559335
12,0.1,-2.9204535769984608,-0.35013005251427415,0.5808469481442804,-2.503826305405135,-29.74506362396447
13,0.1,-2.886770438715974,-0.3491210698639414,0.6044402599234406,-2.515749052259323,-32.26081267622379
14,0.1,-2.8431164765844064,-0.3480287470691059,0.6371709941066528,-2.528844888056652,-34.789657564280446
15,0.1,-2.797021028593499,-0.3468401378111367,0.6713803495178682,-2.5373625830426456,-37.32702014732309
16,0.1,-2.756181506201204,-0.3455612745868881,0.6994312396676773,-2.552503485611733,-39.87952363293482
17,0.1,-2.7061599420140547,-0.3442013335759738,0.7358533937456837,-2.5686094703999363,-42.448133103334754
18,0.1,-2.6545031020745085,-0.3427551640593916,0.7730485385194076,-2.5792710243648025,-45.027404127699555
19,0.1,-2.608956357012724,-0.3412373033233871,0.8034166762211471,-2.596896293768804,-47.62430042146836
20,0.1,-2.5547998721589065,-0.33964109934314823,0.841611121272576,-2.6084881665476756,-50.232788588016035
21,0.1,-2.5070257498111514,-0.33797648423845866,0.8727390925734355,-2.6273924158613347,-52.86018100387737
22,0.1,-2.450936147653697,-0.3362451150288481,0.9115150026347838,-2.6395634718933256,-55.4997444757707
23,0.1,-2.4015545938043514,-0.33444755127200454,0.9429209189156936,-2.659296260265722,-58.15904073603642
24,0.1,-2.344195013136944,-0.33259616497475464,0.9817666366106022,-2.679322639204944,-60.83836337524136
25,0.1,-2.286367943658592,-0.33068592893698295,1.0204913457112377,-2.6917488255544813,-63.53011220079584
26,0.1,-2.235696654270181,-0.32872335801792285,1.0515369259090477,-2.711946073708741,-66.24205827450459
27,0.1,-2.177386193778837,-0.32671644379426823,1.0897782441638453,-2.7321165334265536,-68.97417480793113
28,0.1,-2.1189537268019887,-0.3246629446564748,1.1276757197627592,-2.7521477887540557,-71.7263225966852
29,0.1,-2.060508601117771,-0.3225670229411856,1.165161628294085,-2.7636079512554423,-74.48993054794063
30,0.1,-2.0097150740177376,-0.3204388523681045,1.1946734496633074,-2.7830113373464735,-77.27294188528711
31,0.1,-1.9515828723940694,-0.3182762353703548,1.2311794813094787,-2.8019993647630494,-80.07494125005016
32,0.1,-1.8936960360887087,-0.3160825231814648,1.2671291957259392,-2.8203520150576713,-82.89529326510782
33,0.1,-1.8362493709747347,-0.31386147256961044,1.3023653547213698,-2.829263065144689,-85.72455633025251
34,0.1,-1.7868263196808327,-0.31161834529079274,1.3293571332270948,-2.8461660954334436,-88.57072242568596
35,0.1,-1.7304351734532404,-0.3093571261924817,1.3631360884715764,-2.8622838496149114,-91.43300627530087
36,0.1,-1.6746224634956772,-0.30707831029081745,1.3961606394124972,-2.877571896078198,-94.31057817137906
37,0.1,-1.6194320339104946,-0.3047849664677307,1.4284176307668122,-2.8920105047269646,-97.20258867610603
38,0.1,-1.5648881840412203,-0.30247997318241404,1.4599115477829203,-2.9055665936775426,-100.10815526978358
39,0.1,-1.5110277301084514,-0.3001660211183821,1.4906324810753695,-2.9182135069360844,-103.02636877671966
40,0.1,-1.4578831926289357,-0.29784561804239884,1.5205729877950525,-2.9299306073559106,-105.95629938407558
41,0.1,-1.4054830601243833,-0.2955210909691971,1.5497278495675875,-2.9407028124492425,-108.89700219652482
42,0.1,-1.3538520695074072,-0.29319458935160014,1.5780938240085942,-2.9505201626525244,-111.84752235917735
43,0.1,-1.3030114372396628,-0.2908680891392942,1.6056694541532792,-2.9593773837064856,-114.80689974288383
44,0.1,-1.2529790808611039,-0.2885433975651155,1.632454894790051,-2.9672734500522373,-117.77417319293606
45,0.1,-1.2037698313789522,-0.28622215853453903,1.658451753966438,-2.9742111550951726,-120.74838434803124
46,0.1,-1.1553956368458962,-0.2839058585045383,1.6836629481994871,-2.980196693058774,-123.72858104109001
47,0.1,-1.107865757459939,-0.2815958327481001,1.7080925700210616,-2.9852392562202983,-126.7138202973103
48,0.1,-1.0611869524522322,-0.2792932719104244,1.731745766652012,-2.9893506504844,-129.70317094779472
