timestep,car_speed,steering_angle,distance_to_road_center,angle_from_straight_in_rads,reward,total_reward
1,0.1,-1.092376209414323,-0.030762242133556716,-0.784753788078756,0.5414523104766933,0.5414523104766933
2,0.1,-1.092376209414323,-0.030762242133556716,-0.784753788078756,0.5414523104766933,1.0829046209533866
3,0.1,-1.092376209414323,-0.030762242133556716,-0.784753788078756,0.5414523104766933,1.6243569314300799
4,0.1,-1.092376209414323,-0.030762242133556716,-0.784753788078756,0.5414523104766933,2.165809241906773
5,0.1,-1.092376209414323,-0.030762242133556716,-0.784753788078756,0.5405439449443669,2.70635318685114
6,0.1,-1.0929537907189677,-0.03103628719111229,-0.7825909188078447,0.5389446767174116,3.2452978635685517
7,0.1,-1.0939249382784184,-0.0315371375442941,-0.7785535628354773,0.5368304892895001,3.782128352858052
8,0.1,-1.0951347907901443,-0.03222431390682967,-0.7728916517218476,0.5343424689437601,4.316470821801812
9,0.1,-1.0964549142487972,-0.033063312142967316,-0.765821792819124,0.5315936425195715,4.848064464321384
10,0.1,-1.0977789779785265,-0.03402484090714886,-0.7575305689070381,0.5286736603324645,5.376738124653849
11,0.1,-1.0990200254296236,-0.03508411196166161,-0.7481789058130075,0.525652856885285,5.902390981539133
12,0.1,-1.1001077816287008,-0.03622019816692612,-0.7379057999594396,0.5225836238513891,6.424974605390522
13,0.1,-1.1009887666347664,-0.03741546562538267,-0.7268341103809397,0.5195099498804874,6.94448455527101
14,0.1,-1.1016158164508216,-0.03865507369477261,-0.7150650795030955,0.5164629543055539,7.460947509576563
15,0.1,-1.1019546444827681,-0.03992654155504294,-0.7026892289323389,0.5134653872629641,7.974412896839527
16,0.1,-1.1019791102065828,-0.04121937959673261,-0.6897853142392567,0.5105333376544543,8.484946234493982
17,0.1,-1.1016697320031212,-0.04252477323512105,-0.6764219996519107,0.5076776321596587,8.992623866653641
18,0.1,-1.1010124411374436,-0.04383531441860944,-0.6626592969513492,0.5049049865914848,9.497528853245125
19,0.1,-1.0999975327800744,-0.045144774576252766,-0.6485497870175467,0.502218945116893,9.999747798362018
20,0.1,-1.0986187949318358,-0.046447913255823536,-0.6341396623736004,0.49962107489944685,10.499368873261464
21,0.1,-1.0968721725038815,-0.04774031675230184,-0.6194690049808631,0.4971111214715085,10.996479994732972
22,0.1,-1.0947557918725535,-0.049018262677462676,-0.6045731650979266,0.4946874641650242,11.491167458897996
23,0.1,-1.092269539803361,-0.05027860713320642,-0.589483468471297,0.4923475143562468,11.983514973254243
24,0.1,-1.089414677630372,-0.05151869054781222,-0.5742277721522498,0.49008803321327465,12.473603006467517
25,0.1,-1.086193531051617,-0.05273625917625324,-0.5588309392890848,0.4879053827744402,12.961508389241956
26,0.1,-1.082609243825019,-0.05392939974818867,-0.5433152463431324,0.485795723460531,13.447304112702486
27,0.1,-1.0786655829612077,-0.055096485127114514,-0.5277007316900627,0.48375516813268593,13.931059280835171
28,0.1,-1.0743667859779953,-0.05623612917224863,-0.512005494255509,0.48177990097129975,14.412839181806472
29,0.1,-1.069717442392674,-0.057347149278166976,-0.49624594961100427,0.479866267984145,14.892705449790617
30,0.1,-1.0647224029141444,-0.05842853530977554,-0.48043704981638896,0.47801084472767763,15.370716294518294
31,0.1,-1.0593867108968436,-0.059479423856667824,-0.4645924723301653,0.47621048580451353,15.846926780322807
32,0.1,-1.0537155515572851,-0.06049907690595013,-0.4487247824977839,0.47445762972464967,16.321384410047457
33,0.1,-1.0477235172956567,-0.06148687383037421,-0.43285477899191455,0.472750335472641,16.794134745520097
34,0.1,-1.0414156251988418,-0.062442296488121274,-0.41699266031762916,0.47108695933250067,17.265221704852596
35,0.1,-1.0347970104922035,-0.06336490708319631,-0.4011479396602405,0.4694661692347828,17.734687874087378
36,0.1,-1.0278729077895379,-0.06425433817948267,-0.38532952599471115,0.4678869606647922,18.20257483475217
