timestep,car_speed,steering_angle,distance_to_road_center,angle_from_straight_in_rads,reward,total_reward
1,0.1,-1.932324790761243,-0.08969315358693933,-1.0353932548918499,-0.2847062381293778,-0.2847062381293778
2,0.1,-1.9323247907612422,-0.08969315358693923,-1.0353932548918499,-0.2847062381293778,-0.5694124762587556
3,0.1,-1.9323247907612422,-0.08969315358693923,-1.0353932548918499,-0.2847062381293778,-0.8541187143881334
4,0.1,-1.9323247907612422,-0.08969315358693923,-1.0353932548918499,-0.2847062381293778,-1.1388249525175111
5,0.1,-1.9323247907612422,-0.08969315358693923,-1.0353932548918499,-0.2840972851126131,-1.4229222376301243
6,0.1,-1.9318340668796838,-0.09002667520580578,-1.031567314821626,-0.282853496670316,-1.7057757343004403
7,0.1,-1.9307867964843977,-0.09063612364605227,-1.024425560023875,-0.28849550353293507,-1.9942712378333753
8,0.1,-1.9364941984578268,-0.09147417031183053,-1.0217524953395214,-0.2859913680487718,-2.280262605882147
9,0.1,-1.934236257967557,-0.09249897688072085,-1.0092464891603485,-0.29019135812131525,-2.5704539640034625
10,0.1,-1.9385354720231476,-0.09367330526724332,-1.0018024193507142,-0.28655061533234016,-2.8570045793358028
11,0.1,-1.9349863482121639,-0.09497151966091782,-0.9852711516029857,-0.28945363110010147,-3.1464582104359042
12,0.1,-1.9378497223055255,-0.09636430451238895,-0.9742066771816359,-0.28484187273659045,-3.431300083172495
13,0.1,-1.9329648337210785,-0.09783321401003019,-0.9546326936207765,-0.2866300597726197,-3.7179301429451144
14,0.1,-1.9344003579607754,-0.09935954070373013,-0.9408049509234743,-0.28783264715021784,-4.005762790095332
15,0.1,-1.935067165498485,-0.10092692482218694,-0.9257979172766155,-0.2821448534835883,-4.2879076435789205
16,0.1,-1.9282543973862012,-0.10252386220549815,-0.9030157753312197,-0.282548139235672,-4.570455782814593
17,0.1,-1.9275788487353425,-0.10414031074219082,-0.8861757413134344,-0.2825137798423908,-4.852969562656983
18,0.1,-1.9261829054331847,-0.10576549402683347,-0.86852796516485,-0.28208570381850784,-5.135055266475491
19,0.1,-1.9240815572860404,-0.10739181568844088,-0.8501634004016316,-0.2813188051995342,-5.416374071675025
20,0.1,-1.921303768460306,-0.10901279473701048,-0.8311758210902013,-0.28025129602342547,-5.69662536769845
21,0.1,-1.91786201936229,-0.11062288686400223,-0.8116331507222675,-0.2789201787587968,-5.975545546457247
22,0.1,-1.91376897559186,-0.11221732370474048,-0.7915957385444552,-0.27736109802734776,-6.252906644484595
23,0.1,-1.9090373400768768,-0.1137919879204032,-0.7711174608728448,-0.2756081476898842,-6.528514792174479
24,0.1,-1.9036796452413132,-0.11534330884729638,-0.7502465567683494,-0.27369371758196925,-6.802208509756449
25,0.1,-1.8977080784106588,-0.11686817540978998,-0.729026324312759,-0.2716484194670673,-7.073856929223516
26,0.1,-1.8911343921480803,-0.11836386357532994,-0.707495756394781,-0.2695010476981272,-7.343357976921643
27,0.1,-1.8839698516498031,-0.11982797605661696,-0.6856900910836335,-0.26727856609908063,-7.610636543020724
28,0.1,-1.8762252111612039,-0.12125839228741897,-0.6636412882870141,-0.26500611448821687,-7.875642657508941
29,0.1,-1.8679107129572552,-0.12265322700083509,-0.6413784429489043,-0.26270702965893233,-8.138349687167873
30,0.1,-1.8590361035928575,-0.12401079599839034,-0.6189281436089543,-0.26040287668335804,-8.39875256385123
31,0.1,-1.8496106629991123,-0.12532958791988483,-0.5963147838002639,-0.25811348732214334,-8.656866051173374
32,0.1,-1.839643242814447,-0.12660824101228962,-0.5735608326915506,-0.2588929464507901,-8.915758997624163
33,0.1,-1.833957645147041,-0.12784563818624253,-0.5555012632846158,-0.2565449351818403,-9.172303932806003
34,0.1,-1.8228756859586308,-0.12904214894464555,-0.5324541965121752,-0.25427338797282273,-9.426577320778826
35,0.1,-1.811293266217008,-0.13019531196239487,-0.5093401465930594,-0.24953260514480702,-9.676109925923633
36,0.1,-1.7946775652489635,-0.131298968091873,-0.4816878843302334,-0.24507224007206663,-9.921182165995699
37,0.1,-1.7775555900820403,-0.13234641760427035,-0.4540914140393369,-0.25018564278434385,-10.171367808780042
38,0.1,-1.7777914707824591,-0.1333880162236145,-0.4439113085463142,-0.2481812829788288,-10.41954909175887
39,0.1,-1.7641728731801396,-0.13436147383109362,-0.4205581348692033,-0.24630701645355169,-10.665856108212422
40,0.1,-1.7500917545757488,-0.13528778795327148,-0.397213875043034,-0.24626497643018208,-10.912121084642603
41,0.1,-1.739384499148291,-0.1361682403900936,-0.37770209524735515,-0.24454416096076081,-11.156665245603364
42,0.1,-1.724316502893475,-0.13700081846720744,-0.3543083182214006,-0.24434930278278988,-11.401014548386154
43,0.1,-1.7123202920703404,-0.13778508205220644,-0.33446947154827616,-0.24280759621461456,-11.643822144600769
44,0.1,-1.6962766990280167,-0.13852206573484677,-0.31105604167954914,-0.2414130967641701,-11.885235241364938
45,0.1,-1.6797852944395795,-0.1392095360902321,-0.2876899335372585,-0.24118511255421948,-12.126420353919158
46,0.1,-1.6660460227495215,-0.13984885296434557,-0.2675574931060658,-0.23999674701059526,-12.366417100929754
47,0.1,-1.6486162709835073,-0.1404384922628318,-0.24423134835518928,-0.23974410252671552,-12.60616120345647
48,0.1,-1.633694238108464,-0.14097895834421995,-0.2239046546662647,-0.23877585113332467,-12.844937054589794
49,0.1,-1.6153628522595536,-0.14146966615915194,-0.20066619066803432,-0.23853770125686657,-13.08347475584666
50,0.1,-1.599308484347476,-0.1419106774056212,-0.1802017102912644,-0.23779276033710084,-13.321267516183761
51,0.1,-1.5801068029621739,-0.14230168274097105,-0.1570899755524633,-0.23759647580447507,-13.558863991988236
52,0.1,-1.5629647490566638,-0.1426428563477211,-0.1365361855794528,-0.23707038995435203,-13.795934381942589
53,0.1,-1.5429273852318641,-0.14293370521834695,-0.1135903330483947,-0.23693411607803627,-14.032868498020624
54,0.1,-1.52474424963971,-0.14317489826943688,-0.0929952669453411,-0.23661482441533876,-14.269483322435963
55,0.1,-1.5039087793637762,-0.14336546572374587,-0.07025412212631754,-0.2365476440687646,-14.506030966504728
56,0.1,-1.4847329834928835,-0.14350679807544062,-0.0496650027384774,-0.23648295645077755,-14.742513922955505
57,0.1,-1.465005182486866,-0.1435977425545593,-0.029027756941273117,-0.23638583333261343,-14.978899756288119
58,0.1,-1.4412090857655038,-0.14363717937234097,-0.004837292042093965,-0.23642671661816395,-15.215326472906282
59,0.1,-1.4223799882190278,-0.14363102865736352,0.013930298354607504,-0.2365112435363501,-15.451837716442633
60,0.1,-1.3997041120952323,-0.14357325008988492,0.03602838880361697,-0.23658138102481074,-15.688419097467444
61,0.1,-1.3781976217029765,-0.14346685125375497,0.056470890834572914,-0.23665947255330333,-15.925078570020746
62,0.1,-1.3562169411309402,-0.14331133827812248,0.07689644165028472,-0.23689573974805644,-16.1619743097688
63,0.1,-1.3325249616445656,-0.14310733797401048,0.09854841809553909,-0.23701999186435807,-16.39899430163316
64,0.1,-1.309684894707365,-0.1428552294066046,0.118867399358681,-0.23715219139542043,-16.63614649302858
65,0.1,-1.2863787594211007,-0.14255497907926254,0.13917103137152456,-0.23747038323340353,-16.873616876261984
66,0.1,-1.2617090239865922,-0.1422073385365794,0.16036436137920185,-0.23761611520109782,-17.111232991463083
67,0.1,-1.2376440392310986,-0.14181250679261934,0.18048102869509478,-0.2377571974507644,-17.34899018891385
68,0.1,-1.2131685705298332,-0.14137082566878828,0.2005396861580496,-0.2380620246251437,-17.587052213538993
69,0.1,-1.1876606533216456,-0.1408831535680081,0.22117088235843527,-0.23816810298983504,-17.825220316528828
70,0.1,-1.1625282931091063,-0.14034968514821658,0.24096855837305936,-0.23840034380454367,-18.06362066033337
71,0.1,-1.1365544233076375,-0.13977108030061228,0.2611563796984853,-0.23842948198790404,-18.302050142321274
72,0.1,-1.1108323963062756,-0.1391480753102927,0.2806483567966514,-0.23841580625163683,-18.540465948572912
73,0.1,-1.0847880434738806,-0.138481133363542,0.3000232901615397,-0.23844111863929607,-18.77890706721221
74,0.1,-1.0582063562486965,-0.13777106133324496,0.31950425708375324,-0.23828573926608,-19.01719280647829
75,0.1,-1.031672268196063,-0.13701851917558616,0.33851292355979845,-0.2380979265010168,-19.255290732979304
76,0.1,-1.0047778345365572,-0.13622423337054146,0.3574644991688574,-0.2377524717788404,-19.493043204758145
77,0.1,-0.9778191788454773,-0.1353890224284878,0.37607104543940073,-0.23729101320923807,-19.730334217967382
78,0.1,-0.9506774551009056,-0.13451365171894336,0.394459062088528,-0.23664322259142034,-19.966977440558804
79,0.1,-0.9234955702714245,-0.1335991096342981,0.4124955260715566,-0.23579069195739244,-20.202768132516198
80,0.1,-0.8962948257904669,-0.13264646314275774,0.4301698056371105,-0.23471783403391688,-20.437485966550113
81,0.1,-0.8690909062272646,-0.13165678481665322,0.44747694193926757,-0.2334096717458356,-20.67089563829595
82,0.1,-0.8418989878142837,-0.13063114979683177,0.4644125101540339,-0.23185172435102896,-20.902747362646977
83,0.1,-0.8147340230156117,-0.1295706335980784,0.48097231296517245,-0.23003017732870656,-21.132777539975685
84,0.1,-0.7876104676513211,-0.12847631008322935,0.4971526331809723,-0.22793191073230523,-21.36070945070799
