timestep,car_speed,steering_angle,distance_to_road_center,angle_from_straight_in_rads,reward,total_reward
1,0.1,-1.0527506870989352,-0.10161106210603127,-0.03664006603862237,0.18308397238663177,0.18308397238663177
2,0.1,-1.0527506870989352,-0.10161106210603127,-0.03664006603862237,0.18308397238663177,0.36616794477326353
3,0.1,-1.0527506870989352,-0.10161106210603127,-0.03664006603862237,0.18308397238663177,0.5492519171598953
4,0.1,-1.0527506870989352,-0.10161106210603127,-0.03664006603862237,0.18308397238663177,0.7323358895465271
5,0.1,-1.0527506870989352,-0.10161106210603127,-0.03664006603862237,0.1830348223264795,0.9153707118730066
6,0.1,-1.050804447038851,-0.1016248793029193,-0.03455565400965798,0.18295499217810995,1.0983257040511165
7,0.1,-1.0471456073940604,-0.10164808558384669,-0.030664751555593492,0.18286377110732266,1.2811894751584392
8,0.1,-1.0419632004124637,-0.10167549763460243,-0.025208224066439477,0.1827790970307277,1.4639685721891669
9,0.1,-1.0354127085649345,-0.10170178870180574,-0.018394821546877257,0.1827164518674953,1.6466850240566622
10,0.1,-1.0276278505862395,-0.10172185364267677,-0.010409314159471814,0.1826886656047204,1.8293736896613826
11,0.1,-1.018725359611575,-0.1017310132675111,-0.001415226936464064,0.18270610546257182,2.012079795123954
12,0.1,-1.008808425449165,-0.10172511272631124,0.008442701813947356,0.18277687343158644,2.1948566685555404
13,0.1,-0.9979561145875194,-0.10170054078089269,0.019049293221407332,0.18290773996093979,2.37776440851648
14,0.1,-0.986265965844001,-0.10165423079171704,0.030276342073169343,0.1831041738643273,2.5608685823808077
15,0.1,-0.9738129035593223,-0.10158363976274931,0.042023494068170866,0.18337084180623986,2.7442394241870476
16,0.1,-0.960665123857807,-0.10148668907722225,0.0542017669144155,0.1837119482635774,2.927951372450625
17,0.1,-0.9468849413638872,-0.10136171319740234,0.066732190610136,0.18413150572326442,3.1120828781738896
18,0.1,-0.9325294177346375,-0.10120740833300917,0.07954466559545435,0.18463354148681033,3.2967164196607
19,0.1,-0.9176509091521717,-0.10102278375267165,0.0925769283745447,0.1852222461791151,3.481938665839815
20,0.1,-0.9022975304207946,-0.10080711721539865,0.1057736417331917,0.18589848039263446,3.6678371462324493
21,0.1,-0.8864859739593518,-0.10055988528868065,0.11911287892745465,0.18666668324194124,3.8545038294743907
22,0.1,-0.8702589494135979,-0.10028073018809014,0.1325483524673034,0.1875317070240642,4.042035536498455
23,0.1,-0.8536558122447822,-0.09996946196161399,0.14603880737135777,0.1884988112763848,4.23053434777484
24,0.1,-0.8367128722460176,-0.09962603260752878,0.15954745382927016,0.18957363686380346,4.420107984638643
25,0.1,-0.8194636719076905,-0.0992505139019021,0.17304146711133042,0.19076217736865553,4.6108701620072985
26,0.1,-0.8019392938880813,-0.09884307858295743,0.18649149194149306,0.19207073000225972,4.802940892009558
27,0.1,-0.7841685801569607,-0.09840398446242216,0.19987126446726092,0.19350584037867313,4.996446732388232
28,0.1,-0.7661783319454717,-0.0979335609937878,0.21315727799240636,0.1950742442439346,5.191520976632166
29,0.1,-0.7479934921108625,-0.09743219793592084,0.22632848724834587,0.19678280854764207,5.388303785179808
30,0.1,-0.7296373112802963,-0.09690033578971174,0.23936604661682118,0.19863847361582865,5.586942258795636
31,0.1,-0.7111314988722434,-0.09633845772580829,0.25225307838583955,0.20064819772383724,5.787590456519474
32,0.1,-0.6924963601359522,-0.09574708276042854,0.26497446746833314,0.2028303400864233,5.990420796605897
33,0.1,-0.6737873269947712,-0.09512680010559926,0.2774806740612214,0.2051909956605149,6.195611792266412
34,0.1,-0.655018544812322,-0.09447825893360129,0.2897640445236909,0.20773611676609194,6.403347909032504
35,0.1,-0.6362035447686867,-0.09380211942034139,0.30181764943472716,0.21047148377156333,6.613819392804067
36,0.1,-0.6173552758578561,-0.09309905030920607,0.31363522723420456,0.21340265109031265,6.82722204389438
37,0.1,-0.5984860628094718,-0.0923697267737641,0.32521120492816913,0.21653492591206247,7.043756969806442
38,0.1,-0.5796076509682345,-0.09161482852556097,0.33654063428737513,0.21987334946822945,7.263630319274672
39,0.1,-0.5607312467056174,-0.09083503820422345,0.3476191353366171,0.2234226807814138,7.487053000056085
40,0.1,-0.5418675537453326,-0.0900310399971444,0.3584428462261115,0.2271873828659836,7.714240382922069
41,0.1,-0.5230268059207903,-0.08920351844714614,0.36900837855067103,0.23117161124304653,7.945411994165116
42,0.1,-0.5042187966746305,-0.08835315741537869,0.3793127774791563,0.2353792046152915,8.180791198780407
43,0.1,-0.4854529056029049,-0.08748063917357579,0.38935348613285303,0.23981367753816896,8.420604876318576
44,0.1,-0.46673812233410095,-0.08658664360522739,0.3991283137181729,0.24447821492119404,8.66508309123977
45,0.1,-0.44808306801716163,-0.08567184749951223,0.4086354069779607,0.24937566819519286,8.914458759434963
46,0.1,-0.42949601467462334,-0.0847369239251955,0.4178732245773316,0.254508552986634,9.168967312421596
47,0.1,-0.4109849026578644,-0.08378254167431964,0.426840514085332,0.2598790481477413,9.428846360569338
48,0.1,-0.3925573564219601,-0.0828093647675544,0.43553629125358395,0.26548899599998566,9.694335356569324
49,0.1,-0.37422069881826436,-0.08181805201464681,0.4439598213282038,0.27133990365823757,9.965675260227561
50,0.1,-0.3559819640840231,-0.0808092566246228,0.45211060216220483,0.27743294531282736,10.24310820554039
51,0.1,-0.33784790969029943,-0.07978362586131788,0.4599883489228793,0.28376896535668206,10.526877170897071
